method,N,µ,NMI
Coverage Maximization, 500, 0.2, 0.9008240862763988
Coverage Maximization, 500, 0.30000000000000004, 0.0
Coverage Maximization, 500, 0.30000000000000004, 0.6832906973553325
Coverage Maximization, 500, 0.4, 0.0
Coverage Maximization, 500, 0.1, 0.898293683552552
Coverage Maximization, 500, 0.7000000000000001, 0.0
Coverage Maximization, 500, 0.5, 0.0
Coverage Maximization, 500, 0.6, 0.0
Coverage Maximization, 500, 0.2, 0.6502264932535122
Coverage Maximization, 500, 0.4, 0.0
Coverage Maximization, 500, 0.5, 0.0
Coverage Maximization, 500, 0.1, 0.9346606039205463
Coverage Maximization, 500, 0.7000000000000001, 0.0
Coverage Maximization, 500, 0.6, 0.0
Coverage Maximization, 500, 0.2, 0.9263432175691602
Coverage Maximization, 500, 0.4, 0.0
Coverage Maximization, 500, 0.30000000000000004, 0.0
Coverage Maximization, 500, 0.5, 0.0
Coverage Maximization, 500, 0.1, 0.938735687807053
Coverage Maximization, 500, 0.7000000000000001, 0.0
Coverage Maximization, 500, 0.30000000000000004, 0.5705590217262542
Coverage Maximization, 500, 0.6, 0.0
Coverage Maximization, 500, 0.2, 0.8451080288104457
Coverage Maximization, 500, 0.4, 0.0
Coverage Maximization, 500, 0.7000000000000001, 0.0
Coverage Maximization, 500, 0.5, 0.0
Coverage Maximization, 500, 0.6, 0.0
Coverage Maximization, 500, 0.30000000000000004, 0.0
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.1, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Flake Maximization, 250, 0.2, 0.5384428449381987
Flake Maximization, 250, 0.30000000000000004, 0.5384428449381988
Flake Maximization, 250, 0.4, 0.5384428449381987
Flake Maximization, 250, 0.5, 0.5384428449381987
Flake Maximization, 250, 0.6, 0.5384428449381988
Flake Maximization, 250, 0.7000000000000001, 0.5384428449381988
Conductance Maximization, 250, 0.1, 0.12414051666533095
Conductance Maximization, 250, 0.2, 0.0951484365412197
Glove Maximization, 250, 0.1, 0.8391849318693154
Glove Maximization, 250, 0.2, 0.7432623650961592
Glove Maximization, 250, 0.30000000000000004, 0.6597472934746277
Glove Maximization, 250, 0.5, 0.16593048212247466
Glove Maximization, 250, 0.6, 0.056023474552590526
Glove Maximization, 250, 0.7000000000000001, 0.0634432038219522
Glove Maximization, 250, 0.4, 0.36944096840698176
Glove Maximization, 500, 0.1, 0.7721142277132713
Glove Maximization, 500, 0.30000000000000004, 0.7730208052054327
Glove Maximization, 500, 0.2, 0.32419090991372956
Glove Maximization, 250, 0.2, 0.7513731656157261
Glove Maximization, 250, 0.30000000000000004, 0.5542114254975338
Glove Maximization, 250, 0.1, 0.6866183971157322
Glove Maximization, 500, 0.6, 0.13709920373214274
Glove Maximization, 500, 0.7000000000000001, 0.07885448542495183
Glove Maximization, 500, 0.5, 0.3314417422566592
Glove Maximization, 250, 0.4, 0.38526336752584756
Glove Maximization, 500, 0.4, 0.713048520593069
Glove Maximization, 250, 0.6, 0.04656536447904204
Glove Maximization, 250, 0.5, 0.1991819045074425
Glove Maximization, 250, 0.7000000000000001, 0.08049525938201371
Glove Maximization, 500, 0.2, 0.8071021652618136
Glove Maximization, 500, 0.1, 0.7669862009737604
Glove Maximization, 250, 0.1, 0.725063694490789
Glove Maximization, 250, 0.2, 0.7315394591970718
Glove Maximization, 250, 0.30000000000000004, 0.661378688152684
Glove Maximization, 500, 0.30000000000000004, 0.7619323716799137
Glove Maximization, 500, 0.6, 0.1585275288161432
Glove Maximization, 500, 0.7000000000000001, 0.11834786273562392
Glove Maximization, 500, 0.4, 0.6699795513334594
Glove Maximization, 500, 0.5, 0.35984865638827906
Glove Maximization, 250, 0.7000000000000001, 0.0699239825944316
Glove Maximization, 250, 0.6, 0.07514241316493583
Glove Maximization, 250, 0.5, 0.1754266539768353
Glove Maximization, 250, 0.4, 0.37107494764772414
Glove Maximization, 500, 0.1, 0.7943039535390044
Glove Maximization, 250, 0.2, 0.7700584139518516
Glove Maximization, 250, 0.1, 0.78150621658697
Glove Maximization, 250, 0.30000000000000004, 0.6380466478137363
Glove Maximization, 500, 0.2, 0.8411950531425298
Glove Maximization, 500, 0.30000000000000004, 0.8468217895806819
Glove Maximization, 500, 0.4, 0.7160070082114689
Glove Maximization, 500, 0.5, 0.3592815119980301
Glove Maximization, 500, 0.6, 0.14545001466699053
Glove Maximization, 500, 0.7000000000000001, 0.0675441391662591
Glove Maximization, 250, 0.7000000000000001, 0.032164095483986556
Glove Maximization, 250, 0.6, 0.09145159217611931
Glove Maximization, 250, 0.4, 0.41487588383967994
Glove Maximization, 250, 0.5, 0.15409923028952496
Glove Maximization, 500, 0.1, 0.7673501012216001
Glove Maximization, 250, 0.1, 0.7884094033216913
Glove Maximization, 250, 0.2, 0.7267805490920033
Glove Maximization, 500, 0.2, 0.8063751603001917
Glove Maximization, 250, 0.30000000000000004, 0.6849417588811312
Glove Maximization, 500, 0.30000000000000004, 0.8066251091545382
Glove Maximization, 500, 0.4, 0.5818927157185437
Glove Maximization, 500, 0.5, 0.34559268903794765
Glove Maximization, 500, 0.6, 0.06243021018949595
Glove Maximization, 250, 0.5, 0.10479938231042496
Glove Maximization, 250, 0.6, 0.07612010766945125
Glove Maximization, 500, 0.7000000000000001, 0.008393651825875464
Glove Maximization, 250, 0.4, 0.46360032662717116
Glove Maximization, 250, 0.7000000000000001, 0.012621716850302203
Glove Maximization, 500, 0.1, 0.8529980698175129
Glove Maximization, 500, 0.2, 0.31869044783498046
Glove Maximization, 500, 0.30000000000000004, 0.789513962775585
Glove Maximization, 250, 0.1, 0.8110425881716505
Glove Maximization, 250, 0.2, 0.7976395741877426
Glove Maximization, 250, 0.30000000000000004, 0.6781229672493161
Glove Maximization, 500, 0.5, 0.2297745670471321
Glove Maximization, 250, 0.4, 0.36477434228454425
Glove Maximization, 500, 0.4, 0.6627407627456336
Glove Maximization, 250, 0.5, 0.172606289645932
Glove Maximization, 250, 0.6, 0.06331897244357873
Glove Maximization, 500, 0.6, 0.1025075877655099
Glove Maximization, 500, 0.7000000000000001, 0.10209814353821345
Glove Maximization, 250, 0.7000000000000001, 0.056442168667335875
Glove Maximization, 500, 0.1, 0.820185180834613
Glove Maximization, 500, 0.2, 0.8189635315783484
Glove Maximization, 500, 0.30000000000000004, 0.8212063374128403
Glove Maximization, 500, 0.6, 0.12547648170311507
Glove Maximization, 500, 0.5, 0.32464543220604636
Glove Maximization, 500, 0.4, 0.6135148742207686
Glove Maximization, 250, 0.2, 0.7204052730539781
Glove Maximization, 250, 0.1, 0.7674830979515532
Glove Maximization, 250, 0.30000000000000004, 0.46762997192181244
Glove Maximization, 500, 0.7000000000000001, 0.014555327191838703
Glove Maximization, 250, 0.4, 0.4230183182889989
Glove Maximization, 250, 0.5, 0.04285444652336843
Glove Maximization, 250, 0.6, 0.07403563359660256
Glove Maximization, 250, 0.7000000000000001, 0.04758257070230097
Glove Maximization, 500, 0.1, 0.8470951729657079
Glove Maximization, 500, 0.2, 0.8408109864821541
Glove Maximization, 500, 0.4, 0.6853209889217211
Glove Maximization, 500, 0.30000000000000004, 0.31369280231066804
Glove Maximization, 250, 0.1, 0.8042208468509936
Glove Maximization, 500, 0.5, 0.054326085795037005
Glove Maximization, 250, 0.30000000000000004, 0.6339964779908318
Glove Maximization, 250, 0.2, 0.4100961729794828
Glove Maximization, 250, 0.5, 0.12264180451260985
Glove Maximization, 250, 0.4, 0.42373533297311455
Glove Maximization, 500, 0.6, 0.025538331559640807
Glove Maximization, 500, 0.7000000000000001, 0.10299304381002433
Glove Maximization, 250, 0.6, 0.09658056898561061
Glove Maximization, 250, 0.7000000000000001, 0.07013025341999071
Glove Maximization, 500, 0.1, 0.8344205134176104
Glove Maximization, 250, 0.1, 0.7894405760841658
Glove Maximization, 500, 0.30000000000000004, 0.7298904691036083
Glove Maximization, 500, 0.2, 0.805301783005384
Glove Maximization, 250, 0.2, 0.6787026527725839
Glove Maximization, 250, 0.30000000000000004, 0.4837734885477278
Glove Maximization, 500, 0.4, 0.6917113968807991
Glove Maximization, 500, 0.5, 0.3454567174202869
Glove Maximization, 500, 0.6, 0.14302791541984375
Glove Maximization, 500, 0.7000000000000001, 0.08944470958289175
Glove Maximization, 250, 0.6, 0.033430016608054794
Glove Maximization, 250, 0.4, 0.09523642324243972
Glove Maximization, 250, 0.7000000000000001, 0.06266557072376475
Glove Maximization, 250, 0.5, 0.16627937233243287
Glove Maximization, 500, 0.1, 0.7972326035455447
Glove Maximization, 500, 0.2, 0.8370609355416955
Glove Maximization, 500, 0.30000000000000004, 0.748961830519335
Glove Maximization, 250, 0.1, 0.8025819747918923
Glove Maximization, 500, 0.5, 0.3491675238151497
Glove Maximization, 500, 0.4, 0.6285186439844428
Glove Maximization, 250, 0.30000000000000004, 0.5821946909429456
Glove Maximization, 500, 0.6, 0.19191329644195199
Glove Maximization, 250, 0.4, 0.3529769386183625
Glove Maximization, 250, 0.5, 0.20943695203570725
Glove Maximization, 250, 0.2, 0.29454190403185926
Glove Maximization, 500, 0.7000000000000001, 0.11056641361186578
Glove Maximization, 250, 0.6, 0.0617636487637945
Glove Maximization, 250, 0.7000000000000001, 0.05222647536624038
Glove Maximization, 500, 0.1, 0.8205675378522149
Glove Maximization, 500, 0.2, 0.8628979052626049
Glove Maximization, 500, 0.30000000000000004, 0.8116216754271459
Glove Maximization, 500, 0.4, 0.6265629387418723
Glove Maximization, 500, 0.5, 0.3520015694896547
Glove Maximization, 500, 0.6, 0.026513696443224946
Glove Maximization, 500, 0.7000000000000001, 0.13569003965855753
